phi1_deg,phi2_med,phi2_se,pm_phi1_med,pm_phi1_se,pm_phi2_med,pm_phi2_se,n_eff
-71.05175155911373,0.1902374528726817,0.020853918328662582,-2.223185845512859,0.19458849281276425,0.425446684866108,0.22566202216896547,109.60649817986865
-70.64173278877523,-0.0371455033608894,0.033052973079499455,-1.8415887192353384,0.14152832017211636,0.5475635597128469,0.17034056013440063,223.9889167939522
-70.23171401843675,-0.2967270603789439,0.03849172172152117,-2.28788016861477,0.11605726291446695,0.4323864191338916,0.1291264956289197,342.65810159737043
-69.82169524809825,-0.440824190769454,0.04462859414266219,-2.1381706111163545,0.092035430395055,0.3850350712227951,0.1095303774247777,485.91882548636363
-69.41167647775976,-0.6383423199772273,0.050689003672729396,-2.2415359128489367,0.09045992682116608,0.5663163509931085,0.10009480980319355,563.158081016488
-69.00165770742126,-0.806930346349361,0.05677105873042418,-2.2724810971661475,0.08619383029327161,0.2973659734653083,0.0946111127793582,629.716858322503
-68.59163893708276,-0.5738707653376428,0.05695465999718726,-2.37910968691752,0.0907401894512273,0.370268281864045,0.09925009900400171,592.9756283320745
-68.18162016674428,-0.3214875343106841,0.05714894064914541,-2.403446107087689,0.08839440600218791,0.3140154262440904,0.10027874445520543,592.1427868056729
-67.77160139640579,0.0346278089730908,0.05966668173459845,-2.5564371323148514,0.08682515353736127,0.1103326198930502,0.10028066832407123,585.7224752683209
-67.36158262606729,0.2527070047758321,0.05626181462999399,-2.5508665799296275,0.08714529646574161,0.2671238600855184,0.10012526169352477,584.3533850443038
-66.9515638557288,0.5622637094567918,0.05911693321230246,-2.484001845248291,0.08447773345563273,0.2847385213470037,0.10516828955002416,575.5551821254484
-66.54154508539031,0.7942879114903922,0.05801518558114067,-2.178989428548648,0.09231357067314376,0.1222759844430903,0.09904243705149723,563.2301684853957
-66.13152631505181,0.9849431134791112,0.060226711618766395,-2.7175151962376662,0.08946518134334186,0.1435009795116614,0.10270261696636984,557.5593506715525
-65.72150754471332,1.2201102974422513,0.05969319726942233,-2.677666234634256,0.09383154811828472,-0.2052956501679388,0.10241205822542987,568.8353445591677
